storageDays,corrAggLoss
0,0
1,1.0960770533847974e-4
2,2.1975641195707413e-4
3,3.3045052243708267e-4
4,4.4169448470098016e-4
5,5.534927925400501e-4
6,6.658499861487838e-4
7,7.787706526659957e-4
8,8.922594267227954e-4
9,0.0010063209909973309
10,0.001120960076776735
11,0.0012361814645260039
12,0.0013519899844642025
13,0.0014683905171478176
14,0.0015853879940616045
15,0.0017029873982169139
16,0.00182119376475752
17,0.0019400121815732127
18,0.0020594477899211344
19,0.002179505785055033
20,0.00230019141686251
21,0.0024215099905103635
22,0.002543466867098096
23,0.0026660674643198545
24,0.002789317257134716
25,0.002913221778445531
26,0.0030377866197864242
27,0.0031630174320191537
28,0.0032889199260382126
29,0.0034154998734850853
30,0.0035427631074715638
31,0.0036707155233123012
32,0.003799363079266857
33,0.003928711797291096
34,0.004058767763798349
35,0.004189537130430243
36,0.004321026114837555
37,0.0044532410014708965
38,0.004586188142381743
39,0.004719873958033714
40,0.004854304938124214
41,0.004989487642416766
42,0.005125428701583959
43,0.005262134818061356
44,0.005399612766912393
45,0.005537869396704358
46,0.005676911630395805
47,0.005816746466235333
48,0.005957380978672072
49,0.006098822319277858
50,0.006241077717681412
51,0.006384154482514566
52,0.006528060002370828
53,0.006672801746776258
54,0.006818387267173036
55,0.0069648241979157754
56,0.007112120257280752
57,0.00726028324848825
58,0.00740932106073823
59,0.007559241670259412
60,0.007710053141372096
61,0.0078617636275648
62,0.008014381372584797
63,0.0081679147115431
64,0.008322372072033672
65,0.00847776197526734
66,0.008634093037220472
67,0.008791373969798684
68,0.008949613582015743
69,0.009108820781187965
70,0.00926900457414407
71,0.009430174068451057
72,0.0095923384736561
73,0.009755507102544587
74,0.009919689372414872
75,0.01008489480636958
76,0.010251133034623904
77,0.010418413795831187
78,0.010586746938425796
79,0.01075614242198366
80,0.010926610318600809
81,0.011098160814290006
82,0.011270804210395655
83,0.011444550925027532
84,0.011619411494513343
85,0.011795396574870373
86,0.01197251694329661
87,0.0121507834996816
88,0.01233020726813714
89,0.012510799398548308
90,0.0126925711681449
91,0.01287553398309376
92,0.013059699380112068
93,0.013245079028102062
94,0.013431684729807415
95,0.013619528423491463
96,0.013808622184637818
97,0.013998978227673473
98,0.014190608907714737
99,0.0143835267223364
100,0.014577744313364407
101,0.014773274468692331
102,0.014970130124121933
103,0.015168324365228358
104,0.015367870429250002
105,0.015568781707003598
106,0.015771071744824845
107,0.015974754246534786
108,0.016179843075432535
109,0.01638635225631454
110,0.016594295977520657
111,0.016803688593007737
112,0.017014544624450796
113,0.01722687876337225
114,0.01744070587329964
115,0.01765604099195224
116,0.017872899333456815
117,0.018091296290593126
118,0.018311247437069536
119,0.018532768529828922
120,0.018755875511385675
121,0.01898058451219395
122,0.019206911853047653
123,0.01943487404751268
124,0.019664487804391784
125,0.019895770030222512
126,0.020128737831808796
127,0.020363408518786402
128,0.020599799606223074
129,0.02083792881725348
130,0.021077814085749644
131,0.021319473559027455
132,0.021562925600589478
133,0.021808188792904762
134,0.0220552819402261
135,0.022304224071445375
136,0.022555034442987176
137,0.0228077325417418
138,0.023062338088037523
139,0.02331887103865321
140,0.023577351589871495
141,0.023837800180573326
142,0.02410023749537435
143,0.024364684467803557
144,0.02463116228352509
145,0.024899692383603608
146,0.02517029646781388
147,0.025442996497995127
148,0.025717814701450903
149,0.025994773574395058
150,0.026273895885444307
151,0.026555204679158367
152,0.02683872327962794
153,0.027124475294111494
154,0.027412484616721453
155,0.027702775432160445
156,0.027995372219508166
157,0.028290299756060025
158,0.028587583121217675
159,0.02888724770043266
160,0.0291893191892037
161,0.029493823597128307
162,0.029800787252009645
163,0.030110236804019308
164,0.03042219922991682
165,0.030736701837326658
166,0.031053772269073632
167,0.03137343850757726
168,0.03169572887930626
169,0.032020672059293806
170,0.03234829707571438
171,0.03267863331452317
172,0.03301171052415883
173,0.033347558820310555
174,0.033686208690750355
175,0.034027691000231244
176,0.03437203699545266
177,0.03471927831009372
178,0.03506944696991535
179,0.03542257539793235
180,0.035778696419656295
181,0.036137843268410186
182,0.03650004959071604
183,0.0368653494517564
184,0.037233777340910504
185,0.03760536817736668
186,0.037980157315811586
187,0.03835818055219764
188,0.0387394741295896
189,0.03912407474409137
190,0.039512019550854496
191,0.0399033461701689
192,0.040298092693637544
193,0.04069629769043609
194,0.04109800021365838
195,0.04150323980674951
196,0.041912056510027274
197,0.04232449086729348
198,0.04274058393253624
199,0.04316037727672474
200,0.04358391299469737
201,0.04401123371214499
202,0.04444238259269058
203,0.04487740334506615
204,0.04531634023038904
205,0.0457592380695384
206,0.04620614225063349
207,0.04665709873661543
208,0.04711215407293337
209,0.04757135539533695
210,0.04803475043777655
211,0.0485023875404125
212,0.048974315657735176
213,0.04945058436679735
214,0.049931243875560374
215,0.05041634503135585
216,0.05090593932946444
217,0.05140007892181331
218,0.05189881662579422
219,0.05240220593320344
220,0.05291030101930576
221,0.05342315675202404
222,0.05394082870125601
223,0.05446337314832041
224,0.05499084709553394
225,0.05552330827592125
226,0.056060815163059385
227,0.05660342698105912
228,0.0571512037146847
229,0.057704206119613924
230,0.058262495732841105
231,0.058826134883224176
232,0.05939518670217851
233,0.05996971513451933
234,0.06054978494945476
235,0.06113546175173186
236,0.06172681199293746
237,0.06232390298295648
238,0.06292680290158936
239,0.0635355808103314
240,0.06415030666431594
241,0.06477105132442387
242,0.06539788656956178
243,0.06603088510911112
244,0.0666701205955508
245,0.06731566763725566
246,0.06796760181147343
247,0.06862599967748252
248,0.06929093878993324
249,0.0699624977123753
250,0.07064075603097378
251,0.07132579436841663
252,0.07201769439801631
253,0.07271653885800805
254,0.07342241156604806
255,0.07413539743391391
256,0.07485558248241059
257,0.0755830538564844
258,0.07631789984054838
259,0.07706020987402189
260,0.07781007456708723
261,0.07856758571666683
262,0.07933283632262365
263,0.08010592060418836
264,0.08088693401661645
265,0.08167597326807799
266,0.0824731363367843
267,0.0832785224883541
268,0.08409223229342291
269,0.08491436764549895
270,0.08574503177906928
271,0.08658432928795962
272,0.08743236614395122
273,0.0882892497156591
274,0.08915508878767425
275,0.09002999357997496
276,0.09091407576760974
277,0.09180744850065667
278,0.09271022642446275
279,0.09362252570016688
280,0.09454446402551134
281,0.09547616065594486
282,0.09641773642602258
283,0.09736931377110569
284,0.09833101674936667
285,0.09930297106410285
286,0.10028530408636394
287,0.1012781448778973
288,0.10228162421441592
289,0.10329587460919279
290,0.10432103033698786
291,0.10535722745831069
292,0.10640460384402489
293,0.10746329920029804
294,0.10853345509390308
295,0.10961521497787555
296,0.11070872421753167
297,0.11181413011685307
298,0.11293158194524258
299,0.11406123096465662
300,0.1152032304571203
